"Phoneme","Feature","value"
"p","Power",4
"b","Power",4
"t","Power",4
"d","Power",4
"k","Power",4
"g","Power",4
"s","Power",6
"S","Power",6
"r","Power",7
"l","Power",7
"a","Power",8
"i","Power",8
"u","Power",8
"^","Power",7
"p","Vocalic",1
"b","Vocalic",1
"t","Vocalic",1
"d","Vocalic",1
"k","Vocalic",1
"g","Vocalic",1
"s","Vocalic",4
"S","Vocalic",4
"r","Vocalic",7
"l","Vocalic",7
"a","Vocalic",8
"i","Vocalic",8
"u","Vocalic",8
"^","Vocalic",8
"p","Diffuse",7
"b","Diffuse",7
"t","Diffuse",7
"d","Diffuse",7
"k","Diffuse",2
"g","Diffuse",2
"s","Diffuse",7
"S","Diffuse",6
"r","Diffuse",1
"l","Diffuse",2
"a","Diffuse",2
"i","Diffuse",8
"u","Diffuse",6
"^","Diffuse",5
"p","Acute",2
"b","Acute",2
"t","Acute",7
"d","Acute",7
"k","Acute",3
"g","Acute",3
"s","Acute",8
"S","Acute",4
"r","Acute",2
"l","Acute",4
"a","Acute",1
"i","Acute",8
"u","Acute",2
"^","Acute",1
"p","Consonantal",8
"b","Consonantal",8
"t","Consonantal",8
"d","Consonantal",8
"k","Consonantal",8
"g","Consonantal",8
"s","Consonantal",5
"S","Consonantal",5
"r","Consonantal",3
"l","Consonantal",3
"a","Consonantal",1
"i","Consonantal",1
"u","Consonantal",1
"^","Consonantal",1
"p","Voiced",1
"b","Voiced",7
"t","Voiced",1
"d","Voiced",7
"k","Voiced",1
"g","Voiced",7
"s","Voiced",1
"S","Voiced",1
"r","Voiced",8
"l","Voiced",8
"a","Voiced",8
"i","Voiced",8
"u","Voiced",8
"^","Voiced",8
"p","Burst",8
"b","Burst",7
"t","Burst",6
"d","Burst",5
"k","Burst",4
"g","Burst",3
"s","Burst",NA
"S","Burst",NA
"r","Burst",NA
"l","Burst",NA
"a","Burst",NA
"i","Burst",NA
"u","Burst",NA
"^","Burst",NA
